name,pick_13,pick_116
Travis Bazzana,0.525892353640097,0.754170457418383
Chase Burns,0.497925937544107,0.754170457418383
Charlie Condon,0.497925937544107,0.754170457418383
Nick Kurtz,0.5012595773474,0.0821180673979763
Hagen Smith,0.525892353640097,0.754170457418383
Jac Caglianone,0.497925937544107,0.754170457418383
JJ Wetherholt,0.525892353640097,0.754170457418383
Christian Moore,0.47329316125141,0.0821180673979763
Konnor Griffin,0.532493830098444,0.477344931255214
Seaver King,0.5012595773474,0.418144262408179
Bryce Rainer,0.532493830098444,0.477344931255214
Braden Montgomery,0.47329316125141,0.418144262408179
Cam Smith,0.47329316125141,0.418144262408179
Jurrangelo Cijntje,0.436572362447121,0.0708363267513561
Braylon Payne,0.338432185397606,0.11246071575124
Carson Benge,0.5012595773474,0.0821180673979763
Trey Yesavage,0.5012595773474,0.0821180673979763
Kaelen Culpepper,0.436572362447121,0.0708363267513561
Vance Honeycutt,0.408605946351131,0.0708363267513561
Kellon Lindsey,0.532493830098444,0.141318736245011
Kash Mayfield,0.532493830098444,0.141318736245011
Ben Hess,0.371885147546841,0.0620481868277808
Dante Nori,0.338432185397606,0.11246071575124
Walker Janek,0.47329316125141,0.0821180673979763
Slade Caldwell,0.495773031294155,0.13003699559839
Malcolm Moore,0.47329316125141,0.0821180673979763
Ryan Waldschmidt,0.5012595773474,0.0821180673979763
Griff O'Ferrall,0.371885147546841,0.0620481868277808
Blake Burke,0.371885147546841,0.0620481868277808
JD Dix,0.431085816393876,0.121248855674815
Braylon Doughty,0.560460246194434,0.141318736245011
Levi Sterling,0.431085816393876,0.121248855674815
Brody Brecht,0.47329316125141,0.418144262408179
Caleb Lomavita,0.408605946351131,0.0708363267513561
Tommy White,0.436572362447121,0.0708363267513561
David Shields,0.431085816393876,0.121248855674815
Jared Thomas,0.343918731450851,0.0620481868277808
Caleb Bonemer,0.366398601493596,0.11246071575124
Luke Dickerson,0.366398601493596,0.11246071575124
Chris Cortez,0.436572362447121,0.0708363267513561
Jonathan Santucci,0.371885147546841,0.0620481868277808
Wyatt Sanford,0.532493830098444,0.141318736245011
Jacob Cozart,0.436572362447121,0.0708363267513561
Owen Hall,0.532493830098444,0.141318736245011
Payton Tolle,0.307197932646562,0.0532600469042059
Tyson Lewis,0.532493830098444,0.141318736245011
Boston Bateman,0.431085816393876,0.121248855674815
Bryce Cunningham,0.408605946351131,0.0708363267513561
Cole Mathis,0.307197932646562,0.0532600469042059
Ryan Sloan,0.560460246194434,0.141318736245011
Carter Johnson,0.560460246194434,0.141318736245011
Bryce Meccage,0.403119400297885,0.121248855674815
Khal Stephen,0.371885147546841,0.0620481868277808
Billy Amick,0.279231516550572,0.0532600469042059
Ethan Anderson,0.307197932646562,0.0532600469042059
Carter Holton,0.307197932646562,0.0532600469042059
Griffin Burkholder,0.403119400297885,0.121248855674815
Ivan Luciano,0.338432185397606,0.11246071575124
Dylan Dreiling,0.279231516550572,0.0532600469042059
Blake Larson,0.338432185397606,0.11246071575124
Dasan Hill,0.532493830098444,0.141318736245011
Aiden May,0.371885147546841,0.0620481868277808
Luke Holman,0.371885147546841,0.0620481868277808
Ethan Schiefelbein,0.431085816393876,0.121248855674815
Gage Jump,0.307197932646562,0.0532600469042059
Ryan Johnson,0.371885147546841,0.0620481868277808
Josh Kuroda-Grauer,0.307197932646562,0.0532600469042059
Drew Beam,0.307197932646562,0.0532600469042059
Cole Messina,0.242510717746283,0.0505828003497523
Nick McLain,0.242510717746283,0.0505828003497523
Kevin Bazzell,0.371885147546841,0.0620481868277808
Brian Holiday,0.242510717746283,0.0505828003497523
Nate Dohm,0.279231516550572,0.0532600469042059
Josh Hartle,0.371885147546841,0.0620481868277808
Joey Oakie,0.467806615198165,0.13003699559839
Josh Randall,0.307197932646562,0.0532600469042059
Brandon Neely,0.242510717746283,0.0505828003497523
Mike Sirota,0.371885147546841,0.0620481868277808
Cobb Hightower,0.338432185397606,0.11246071575124
Thatcher Hurd,0.371885147546841,0.0620481868277808
Ronny Cruz,0.338432185397606,0.11246071575124
Hunter Cranton,0.371885147546841,0.0620481868277808
Gage Miller,0.242510717746283,0.0505828003497523
Jaron DeBerry,0.307197932646562,0.0532600469042059
Nathan Flewelling,0.338432185397606,0.11246071575124
Johnny King,0.366398601493596,0.11246071575124
Khadim Diaw,0.279231516550572,0.0532600469042059
Austin Overn,0.279231516550572,0.0532600469042059
Chase Harlan,0.338432185397606,0.11246071575124
Luke Sinnard,0.343918731450851,0.0620481868277808
John Spikerman,0.307197932646562,0.0532600469042059
Ryan Forcucci,0.343918731450851,0.0620481868277808
Daniel Eagen,0.343918731450851,0.0620481868277808
Casey Cook,0.307197932646562,0.0532600469042059
Rodney Green,0.214544301650293,0.0505828003497523
Blake Wright,0.242510717746283,0.0505828003497523
Casey Saucke,0.242510717746283,0.0505828003497523
Jackson Kent,0.242510717746283,0.0505828003497523
Ryan Campos,0.242510717746283,0.0505828003497523
Austin Gordon,0.242510717746283,0.0505828003497523
Eddie Rynders,0.338432185397606,0.11246071575124
Rafe Schlesinger,0.242510717746283,0.0505828003497523
Michael Massey,0.371885147546841,0.0620481868277808
Zach Ehrhard,0.279231516550572,0.0532600469042059
Dakota Jordan,0.279231516550572,0.0532600469042059
Peyton Stovall,0.307197932646562,0.0532600469042059
Tyson Neighbors,0.371885147546841,0.0620481868277808
Gage Ziehl,0.242510717746283,0.0505828003497523
Ty Southisene,0.273744970497327,0.109783469196787
Josh Caron,0.307197932646562,0.0532600469042059
Fenwick Trimble,0.242510717746283,0.0505828003497523
Marco Dinges,0.214544301650293,0.0505828003497523
Nate Knowles,0.214544301650293,0.0505828003497523
Sean Keys,0.371885147546841,0.0620481868277808
Jaime Ferrer,0.0851698718497338,0.0452283072408451
Chase Allsup,0.0851698718497338,0.0452283072408451
Jakob Wright,0.0851698718497338,0.0452283072408451
Herick Hernandez,0.0851698718497338,0.0452283072408451
Carson DeMartini,0.279231516550572,0.0532600469042059
Parker Smith,0.214544301650293,0.0505828003497523
Tytus Cissell,0.338432185397606,0.11246071575124
David Hagaman,0.408605946351131,0.0708363267513561
Kavares Tears,0.343918731450851,0.0620481868277808
Clark Candiotti,0.0851698718497338,0.0452283072408451
Nick Mitchell,0.0851698718497338,0.0452283072408451
Sam Stuhr,0.0851698718497338,0.0452283072408451
A.J. Causey,0.0851698718497338,0.0452283072408451
Sam Antonacci,0.0851698718497338,0.0452283072408451
Braden Davis,0.279231516550572,0.0532600469042059
Dylan Jordan,0.144370540696768,0.104428976087879
Trey Snyder,0.273744970497327,0.109783469196787
Will Taylor,0.0851698718497338,0.0452283072408451
Aidan Major,0.0851698718497338,0.0452283072408451
Jack Penney,0.0851698718497338,0.0452283072408451
Brandon Clarke,0.279231516550572,0.0532600469042059
Jakob Christian,0.0851698718497338,0.0452283072408451
Tristan Smith,0.0851698718497338,0.0452283072408451
Kale Fountain,0.338432185397606,0.11246071575124
Greysen Carter,0.0851698718497338,0.0452283072408451
Ariel Armas,0.0851698718497338,0.0452283072408451
Charlie Beilenson,0.0851698718497338,0.0452283072408451
Grant Shepardson,0.338432185397606,0.11246071575124
John Holobetz,0.0851698718497338,0.0452283072408451
Jacob Kmatz,0.0851698718497338,0.0452283072408451
Jackson Wentworth,0.214544301650293,0.0505828003497523
Caden Kendle,0.0851698718497338,0.0452283072408451
Ryan Stafford,0.279231516550572,0.0532600469042059
Carter Mathison,0.214544301650293,0.0505828003497523
Cole Hertzler,0.279231516550572,0.0532600469042059
Connor Foley,0.0851698718497338,0.0452283072408451
Devin Fitz-Gerald,0.144370540696768,0.104428976087879
Mason Marriott,0.307197932646562,0.0532600469042059
Dennis Colleran,0.307197932646562,0.0532600469042059
Brock Moore,0.307197932646562,0.0532600469042059
Luke Hayden,0.343918731450851,0.0620481868277808
Chase Mobley,0.403119400297885,0.121248855674815
